"SUID","BH","name","selected","shared name","uidA","uidB"
"126","0.209625668449198","SCAMP1","false","SCAMP1","O15126","O15126"
"127","1.0","MAPK15","false","MAPK15","Q8TD08","Q8TD08"
"128","0.954611398963731","GGT6","false","GGT6","Q6P531","Q6P531"
"129","0.00450255102040816","DGCR2","false","DGCR2","","P98153"
"130","0.0854030501089325","RNF133","false","RNF133","Q8WVZ7",""
"131","1.0","DDX10","false","DDX10","","Q13206"
"132","0.777777777777778","KLHL5","false","KLHL5","Q96PQ7",""
"133","0.151059730250482","ABCC2","false","ABCC2","Q92887",""
"134","0.387023977433004","AGPS","false","AGPS","","O00116"
"135","0.930379746835443","HHIP","false","HHIP","Q96QV1","Q96QV1"
"136","0.347415066469719","STK38L","false","STK38L","Q9Y2H1","Q9Y2H1"
"137","0.472922252010724","CDYL2","false","CDYL2","Q8N8U2",""
"138","0.182835820895522","NOL9","false","NOL9","Q5SY16",""
"139","0.00450255102040816","ALDOB","false","ALDOB","A0A024R145","A0A024R145"
"140","0.979001019367992","MKI67","false","MKI67","P46013","P46013"
"141","0.387023977433004","N4BP2","false","N4BP2","","Q86UW6"
"142","0.918423855165069","TNRC18","false","TNRC18","O15417",""
"143","0.0464454976303318","PRPS2","false","PRPS2","P11908","P11908"
"144","0.918423855165069","APLP1","false","APLP1","P51693","P51693"
"145","0.860592755214051","PLXND1","false","PLXND1","","Q9Y4D7"
"146","0.325188536953243","RPS6KA2","false","RPS6KA2","Q15349","Q15349"
"147","0.569191919191919","ATF6B","false","ATF6B","Q99941",""
"148","0.00450255102040816","KIAA1109","false","KIAA1109","Q2LD37",""
"149","1.0","PHF20","false","PHF20","","Q9BVI0"
"150","1.0","C22orf39","false","C22orf39","Q6P5X5",""
"151","0.905263157894737","HOXD10","false","HOXD10","","P28358"
"152","1.0","LRRC7","false","LRRC7","Q96NW7","Q96NW7"
"153","0.370348837209302","BPTF","false","BPTF","","Q12830"
"154","0.0854030501089325","PHLDB2","false","PHLDB2","Q86SQ0","Q86SQ0"
"155","0.472922252010724","RPS6KC1","false","RPS6KC1","F6RJM5","F6RJM5"
"156","1.0","EPHA1","false","EPHA1","","P21709"
"157","1.0","HR","false","HR","O43593",""
"158","1.0","CLIP3","false","CLIP3","Q96DZ5",""
"159","1.0","TSC22D2","false","TSC22D2","O75157",""
"160","0.718203309692671","ATAD3B","false","ATAD3B","Q5T9A4",""
"161","1.0","PHRF1","false","PHRF1","Q9P1Y6",""
"162","0.370348837209302","YBX3","false","YBX3","A0A024RAV4",""
"163","1.0","BMPR2","false","BMPR2","Q13873","Q13873"
"164","0.729302325581395","TECPR2","false","TECPR2","O15040",""
"165","0.777777777777778","SUGP2","false","SUGP2","","Q8IX01"
"166","1.0","TIMM10","false","TIMM10","P62072",""
"167","0.607940446650124","ALG13","false","ALG13","","Q9NP73"
"168","0.00450255102040816","CDKL2","false","CDKL2","A0A140VJG1","A0A140VJG1"
"169","0.00450255102040816","OBSL1","false","OBSL1","O75147",""
"170","0.701670644391408","GAB3","false","GAB3","Q8WWW8",""
"171","1.0","HSD3B2","false","HSD3B2","P26439","P26439"
"172","1.0","MYOG","false","MYOG","P15173",""
"173","0.492592592592593","NOD1","false","NOD1","","A0A024RA73"
"174","0.793700787401575","CPA2","false","CPA2","","P48052"
"175","0.718203309692671","ARHGEF40","false","ARHGEF40","Q8TER5",""
"176","0.954611398963731","MMADHC","false","MMADHC","Q9H3L0",""
"177","0.387023977433004","FBXO10","false","FBXO10","","Q9UK96"
"178","0.512418300653595","EXD3","false","EXD3","A0A140VJP9","A0A140VJP9"
"179","0.746020761245675","SDC1","false","SDC1","P18827","P18827"
"180","1.0","BCAP29","false","BCAP29","Q9UHQ4",""
"181","0.918423855165069","DFFB","false","DFFB","Q96P73","Q96P73"
"182","0.258745874587459","MYBPH","false","MYBPH","Q13203",""
"183","1.0","MARCH2","false","MARCH2","Q9P0N8",""
"184","1.0","TOM1","false","TOM1","O60784","O60784"
"185","0.00450255102040816","WIPI2","false","WIPI2","A0A024R823",""
"186","0.729302325581395","SAMD11","false","SAMD11","","Q96NU1"
"187","0.777777777777778","CIT","false","CIT","","O14578"
"188","1.0","KIF14","false","KIF14","Q15058",""
"189","1.0","HELZ","false","HELZ","","P42694"
"190","1.0","ERF","false","ERF","A0A024R0L4",""
"191","1.0","CHD7","false","CHD7","","Q9P2D1"
"192","0.347415066469719","SUPT6H","false","SUPT6H","","Q7KZ85"
"193","0.209625668449198","JDP2","false","JDP2","A0A024R6D7",""
"194","1.0","SKAP2","false","SKAP2","O75563","O75563"
"195","0.387023977433004","RECQL5","false","RECQL5","A0A024R8M9","A0A024R8M9"
"196","0.746020761245675","URGCP","false","URGCP","","Q8TCY9"
